Family_ID,Father ID,Mother_ID,Child_ID_1,Child_ID_2,Child_ID_3,Child_ID_4,Child_ID_5,Child_ID_6,Child_ID_7,Child_ID_8,Child_ID_9,Child_ID_10
F1099,I122653866838,I122593936993,,,,,,,,,,
F1100,I122597000760,I122597000732,,,,,,,,,,
F1101,I122614661402,I122614661409,I122614660921,I122614662319,,,,,,,,
F1102,I122603210432,I122603210436,I122603210395,I122603210508,,,,,,,,
F1103,I122604734123,I122604734129,I122602657039,I122604734187,,,,,,,,
F1104,I122596492842,I122596493002,I122596493099,,,,,,,,,
F1105,I122595001803,I122595001921,I122595002025,,,,,,,,,
F1106,I122596132408,I122596132036,I122596132462,,,,,,,,,
F1107,I122616300015,I122616300273,I122616299781,,,,,,,,,
F1108,I122603669109,I122603669207,I122603669302,,,,,,,,,
F1109,I122605700727,I122605700788,I122605700844,,,,,,,,,
F1110,I122618200604,I122618200575,I122618201113,,,,,,,,,
F1111,I122593576518,I122593576606,I122593576658,,,,,,,,,
F1112,I122642350958,I122596115791,,,,,,,,,,
F1113,I122616758555,I122616758949,I122616768361,I122616759297,,,,,,,,
F1114,I122594592427,I122594592487,I122608811243,I122594592580,I122594727741,I122594998511,,,,,,
F1115,I122596607693,I122596607701,I122596608362,I122596607937,I122596607626,,,,,,,
F1116,I122606192248,I122606199620,,,,,,,,,,
F1117,I122595395289,I122595395298,I122595395259,,,,,,,,,
F1118,I122595690205,I122595690121,I122595690079,I122604744075,I122595690233,I122600507587,I122595691073,I122595690957,,,,
F1119,I122603685412,I122603679645,I122603685877,I122603679568,I122603679833,I122605916758,,,,,,
F1120,I122603685412,I122603685360,,,,,,,,,,
F1121,I122593937086,I122593937129,I122593937174,,,,,,,,,
F1122,I122603210333,I122603210285,,,,,,,,,,
F1123,I122594100925,I122594100933,I122594100877,,,,,,,,,
F1124,I122600185986,I122616299781,,,,,,,,,,
F1125,I122605241937,I122605241959,I122605241984,,,,,,,,,
F1126,I122618413412,I122618413344,,,,,,,,,,
F1127,I122606519891,I122606519899,I122600501914,I122606519876,,,,,,,,
F1128,I122594100877,I122594100887,I122594100856,,,,,,,,,
F1129,I122606224971,I122606224988,I122606224949,,,,,,,,,
F1130,I122602653191,I122602653265,,,,,,,,,,
F1131,I122604570208,I122604570005,I122604570303,,,,,,,,,
F1132,I122606519821,I122606519876,,,,,,,,,,
F1133,I122596106642,I122596099812,I122600377094,I122596111625,,,,,,,,
F1134,I122596705955,I122596706035,I122596706127,,,,,,,,,
F1135,I122597050106,I122597050033,,,,,,,,,,
F1136,I122596607626,I122596607646,I122596607352,,,,,,,,,
F1137,I122594739943,I122594739953,I122594739872,I122617410219,,,,,,,,
F1138,I122595690126,I122595690132,I122597166172,I122596841175,I122595690121,I122595691859,I122595691902,,,,,
F1139,I122614792605,I122614792635,I122596604728,I122596604605,,,,,,,,
F1140,I122606224949,I122606224862,,,,,,,,,,
F1141,I122597000852,I122597000863,I122597000647,I122597000956,,,,,,,,
F1142,I122609074657,I122609074652,I122609074556,,,,,,,,,
F1143,I122603832827,I122603832833,I122603832811,,,,,,,,,
F1144,I122605913523,I122605913630,,,,,,,,,,
F1145,I122614792605,I122596604983,,,,,,,,,,
F1146,I122615906706,I122615906712,I122615905633,,,,,,,,,
F1147,I122605241797,I122605241801,I122605241787,,,,,,,,,
F1148,I122619019959,I122619019905,I122619020195,,,,,,,,,
F1149,I122595001619,I122595001635,I122595001599,I122595001803,,,,,,,,
F1150,I122618970800,I122618970809,I122618971470,I122619016831,I122618970626,I122619392988,I122619396284,,,,,
F1151,I122597410165,I122597410176,I122597410142,,,,,,,,,
F1152,I122602833319,I122602833332,I122602833297,,,,,,,,,
F1153,I122595689771,I122595689811,I122609874778,I122595689740,I122595689838,,,,,,,
F1154,I122594100384,I122594100538,I122594100753,,,,,,,,,
F1155,I122594739483,I122594739488,I122600183386,,,,,,,,,
F1156,I122617987706,I122617987721,I122617987817,,,,,,,,,
F1157,I122618479256,I122618479276,,,,,,,,,,
F1158,I122594592060,I122594592124,I122594591964,,,,,,,,,
F1159,I122614350436,I122614350543,I122614350848,,,,,,,,,
F1160,I122596115840,I122596115791,,,,,,,,,,
F1161,I122597410062,I122597410142,,,,,,,,,,
F1162,I122605241839,I122605241844,I122605241937,I122605241797,,,,,,,,
F1163,I122618413686,I122618413712,I122618413489,,,,,,,,,
F1164,I122603832811,I122603832815,I122603832761,,,,,,,,,
F1165,I122595689838,I122595689753,,,,,,,,,,
F1166,I122595689838,I122595689921,I122595689953,,,,,,,,,
F1167,I122596607352,I122596607251,,,,,,,,,,
F1168,I122619888274,I122619888188,,,,,,,,,,
F1169,I122602833297,I122602833242,,,,,,,,,,
F1170,I122595689740,I122595689753,I122595689731,,,,,,,,,
F1171,I122603832734,I122603832761,,,,,,,,,,
F1172,I122610549365,I122610549446,,,,,,,,,,
F1173,I122595394846,I122595394771,I122595393498,,,,,,,,,
F1174,I122602833365,I122602833389,I122602833319,I122602833620,,,,,,,,
F1175,I122597000449,I122597000451,I122596999881,,,,,,,,,
F1176,I122606519730,I122606519743,I122606519821,I122606519719,,,,,,,,
F1177,I122619724345,I122619724525,I122619724933,,,,,,,,,
F1178,I122615054856,I122615054910,I122595569224,,,,,,,,,
F1179,I122606519655,I122606519719,,,,,,,,,,
F1180,I122615906871,I122600380814,I122600380261,I122615906712,,,,,,,,
F1181,I122593576299,I122593576331,I122593576518,I122651363936,I122593576072,,,,,,,
F1182,I122605241759,I122605241787,,,,,,,,,,
F1183,I122596602254,I122603570683,I122596602245,I122603570647,,,,,,,,
F1184,I122595689731,I122595689710,,,,,,,,,,
F1185,I122597049628,I122597049728,I122597049827,,,,,,,,,
F1186,I122616922824,I122616922851,,,,,,,,,,
F1187,I122597000481,I122597000494,I122597000451,I122597001228,,,,,,,,
F1188,I122618479321,I122618479319,I122618479276,I122618717254,,,,,,,,
F1189,I122605700465,I122605700523,I122605699899,,,,,,,,,
F1190,I122616595176,I122616595185,I122616594861,,,,,,,,,
F1191,I122610628856,I122594739520,I122610628620,I122594739483,,,,,,,,
F1192,I122617987817,I122617987842,,,,,,,,,,
F1193,I122603570647,I122603570513,,,,,,,,,,
F1194,I122605241674,I122605241680,I122605241646,I122605241293,,,,,,,,
F1195,I122597426612,I122597426680,I122597434052,I122597426807,,,,,,,,
F1196,I122644283571,I122644283738,I122644284073,,,,,,,,,
F1197,I122619396688,I122619396661,I122619396323,I122619396988,,,,,,,,
F1198,I122596705729,I122596705790,I122596704464,I122596705955,,,,,,,,
F1199,I122606519655,I122615621994,,,,,,,,,,
F1200,I122603685170,I122603685084,,,,,,,,,,
F1201,I122605913361,I122605913454,I122605913523,,,,,,,,,
F1202,I122618479112,I122618479145,I122618479256,,,,,,,,,
F1203,I122642201285,I122642202753,,,,,,,,,,
F1204,I122597410272,I122597410263,I122597410201,I122597413388,I122597540207,I122597541403,,,,,,
F1205,I122602652927,I122602652940,I122602652908,I122602653191,,,,,,,,
F1206,I122600506736,I122600506676,,,,,,,,,,
F1207,I122603570440,I122603570357,I122603570513,,,,,,,,,
F1208,I122603209927,I122603209999,I122603209867,I122602826815,,,,,,,,
F1209,I122603832628,I122603832691,I122603832734,,,,,,,,,
F1210,I122605700465,I122605700327,I122605700727,,,,,,,,,
F1211,I122618413568,I122618413576,I122618413492,,,,,,,,,
F1212,I122596492728,I122596492793,,,,,,,,,,
F1213,I122618970626,I122618970635,I122619385964,I122618970366,,,,,,,,
F1214,I122610549502,I122610549492,I122610549446,,,,,,,,,
F1215,I122609959630,I122609959622,I122609960330,I122609959187,,,,,,,,
F1216,I122605094161,I122605094146,I122604971463,I122605094092,,,,,,,,
F1217,I122597410201,I122597410211,I122597411181,I122597412274,I122597410165,,,,,,,
F1218,I122593936844,I122593936853,I122600509842,I122603573230,I122595612943,I122600190654,I122593936842,I122608658478,I122600375529,,,
F1219,I122605241496,I122605241646,I122605241759,I122616759639,,,,,,,,
F1220,I122642202884,I122642202862,I122642202753,I122642203081,,,,,,,,
F1221,I122593849286,I122593936842,I122608804144,,,,,,,,,
F1222,I122595755099,I122595755124,I122595755062,I122595757280,,,,,,,,
F1223,I122618036998,I122618037127,I122618037413,,,,,,,,,
F1224,I122605093999,I122605094092,,,,,,,,,,
F1225,I122606028002,I122606028026,I122606027949,I122606028189,,,,,,,,
F1226,I122619396988,I122619397024,I122619397199,,,,,,,,,
F1227,I122617447321,I122617447251,I122617447533,I122618200575,I122618383350,I122618970800,I122617988999,I122618412422,I122618510316,I122618479418,I122614470659,I122618926688
F1228,I122600375430,I122600375490,,,,,,,,,,
F1229,I122600506509,I122600506601,I122600506676,,,,,,,,,
F1230,I122595755062,I122595755077,I122595755048,,,,,,,,,
F1231,I122615055114,I122615055185,,,,,,,,,,
F1232,I122613859279,I122613859174,,,,,,,,,,
F1233,I122596115571,I122596115613,I122596115457,,,,,,,,,
F1234,I122597000288,I122597000296,I122597000333,I122614662430,,,,,,,,
F1235,I122619888514,I122619888502,I122619888274,,,,,,,,,
F1236,I122594575363,I122594565809,I122594584919,,,,,,,,,
F1237,I122603209867,I122603209871,I122603209816,,,,,,,,,
F1238,I122595689629,I122595689577,I122595689668,,,,,,,,,
F1239,I122597409864,I122597409941,I122597410062,,,,,,,,,
F1240,I122603832545,I122603832551,I122603832472,I122603832628,,,,,,,,
F1241,I122602652818,I122602652908,,,,,,,,,,
F1242,I122603373721,I122603373778,,,,,,,,,,
F1243,I122603373796,I122603373806,I122603373778,,,,,,,,,
F1244,I122603832472,I122603832482,I122603832409,,,,,,,,,
F1245,I122617988049,I122617988046,I122606512521,I122617987721,,,,,,,,
F1246,I122605700145,I122605700236,I122605699947,I122605700327,,,,,,,,
F1247,I122606027873,I122606027949,,,,,,,,,,
F1248,I122627474071,I122627474028,I122606480180,,,,,,,,,
F1249,I122617742322,I122617742313,I122617742709,I122617731838,,,,,,,,
F1250,I122600375529,I122600375541,I122600375490,I122594659057,,,,,,,,
F1251,I122596607158,I122596607011,I122596607251,,,,,,,,,
F1252,I122616923112,I122616923118,I122616922974,,,,,,,,,
F1253,I122603832409,I122603832414,I122603832306,I122603832270,,,,,,,,
F1254,I122595689668,I122595689690,I122595689710,,,,,,,,,
F1255,I122618479409,I122618479418,I122618650796,I122618672204,I122618479321,I122618719014,I122618853816,,,,,
F1256,I122596665844,I122606519407,,,,,,,,,,
F1257,I122610549676,I122610549659,I122610549502,,,,,,,,,
F1258,I122618413828,I122618413861,I122618414720,I122618413686,,,,,,,,
F1259,I122594739383,I122600183386,I122600183336,I122618721191,,,,,,,,
F1260,I122603373568,I122603373573,I122603373721,I122603373556,,,,,,,,
F1261,I122619872014,I122619872000,I122619871347,I122596496893,,,,,,,,
F1262,I122605093999,I122605093944,,,,,,,,,,
F1263,I122593576072,I122593576143,I122593575936,,,,,,,,,
F1264,I122596115682,I122596115695,I122605249649,I122596115791,I122596115571,,,,,,,
F1265,I122603209816,I122603209827,I122603209777,,,,,,,,,
F1266,I122597000369,I122597000333,I122597000416,,,,,,,,,
F1267,I122616922985,I122616922974,I122616922851,,,,,,,,,
F1268,I122595001540,I122595001599,,,,,,,,,,
F1269,I122615055261,I122615055272,I122615055185,,,,,,,,,
F1270,I122642203081,I122642203110,I122642203117,,,,,,,,,
F1271,I122603684943,I122603684949,I122603685084,I122603684932,,,,,,,,
F1272,I122610680780,I122610680773,I122610680247,,,,,,,,,
F1273,I122594591964,I122594729019,I122597411782,I122594728817,,,,,,,,
F1274,I122604739537,I122604739544,I122604739601,I122604739522,,,,,,,,
F1275,I122614848561,I122614848638,,,,,,,,,,
F1276,I122597169993,I122597169919,I122597170054,,,,,,,,,
F1277,I122602658727,I122602658811,I122602658906,I122602659064,,,,,,,,
F1278,I122600774528,I122600774529,I122600774523,,,,,,,,,
F1279,I122618420396,I122618420416,I122618420251,,,,,,,,,
F1280,I122618420396,I122618420604,,,,,,,,,,
F1281,I122604739522,I122604739445,,,,,,,,,,
F1282,I122594843446,I122594843412,I122594843503,,,,,,,,,
F1283,I122596596670,I122596596573,,,,,,,,,,
F1284,I122606033901,I122596839569,I122596839557,,,,,,,,,
F1285,I122605984789,I122605984746,,,,,,,,,,
F1286,I122631822693,I122631822679,I122603215047,,,,,,,,,
F1287,I122609064982,I122609065052,,,,,,,,,,
F1288,I122593942279,I122593942290,I122593941896,I122593942382,,,,,,,,
F1289,I122642357837,I122642357812,I122642357188,,,,,,,,,
F1290,I122606509017,I122606509022,I122606509159,I122606508984,,,,,,,,
F1291,I122605984719,I122605984690,I122606024146,I122606027734,I122605984746,I122606030544,I122606032673,,,,,
F1292,I122616536235,I122616536238,I122616536612,I122616536108,,,,,,,,
F1293,I122600184740,I122600184685,,,,,,,,,,
F1294,I122603215825,I122603215767,I122603215895,,,,,,,,,
F1295,I122615618650,I122615618704,I122615618793,,,,,,,,,
F1296,I122606508984,I122606508994,I122606508797,,,,,,,,,
F1297,I122594269979,I122594269883,,,,,,,,,,
F1298,I122606115791,I122606115840,,,,,,,,,,
F1299,I122615897169,I122615897088,I122615897383,,,,,,,,,
F1300,I122595613540,I122595613649,,,,,,,,,,
F1301,I122594106207,I122594106126,,,,,,,,,,
F1302,I122626235721,I122626235735,I122626234790,,,,,,,,,
F1303,I122606033846,I122606033751,I122606033901,,,,,,,,,
F1304,I122594843503,I122594843540,,,,,,,,,,
F1305,I122606115722,I122606115766,I122606115791,,,,,,,,,
F1306,I122600774592,I122600774623,I122600774721,,,,,,,,,
F1307,I122617305857,I122617306315,,,,,,,,,,
F1308,I122617306630,I122617306315,,,,,,,,,,
F1309,I122593942428,I122593942382,I122594177033,,,,,,,,,
F1310,I122594728980,I122594728817,I122594728605,I122597051306,I122596097772,,,,,,,
F1311,I122606214054,I122606214160,,,,,,,,,,
F1312,I122600774629,I122600774633,I122600774623,,,,,,,,,
F1313,I122596662049,I122596662077,I122596662014,I122596662144,,,,,,,,
F1314,I122615618793,I122615618985,,,,,,,,,,
F1315,I122614848757,I122614848737,I122614848638,,,,,,,,,
F1316,I122614848757,I122614849643,,,,,,,,,,
F1317,I122596875215,I122596875256,,,,,,,,,,
F1318,I122605083469,I122605083490,I122605083445,,,,,,,,,
F1319,I122595613661,I122595613678,I122595613649,,,,,,,,,
F1320,I122593942445,I122593942462,I122593942428,,,,,,,,,
F1321,I122608753857,I122608753797,,,,,,,,,,
F1322,I122596596697,I122596596705,I122602659194,I122596596670,,,,,,,,
F1323,I122618420251,I122618420260,I122618419987,,,,,,,,,
F1324,I122593942445,I122597167957,,,,,,,,,,
F1325,I122596662231,I122596662196,I122596766195,I122596766604,,,,,,,,
F1326,I122596662231,I122614460675,,,,,,,,,,
F1327,I122603477760,I122603477779,I122603477747,I122603478017,,,,,,,,
F1328,I122597170147,I122597170054,,,,,,,,,,
F1329,I122594270089,I122594270313,I122594269979,,,,,,,,,
F1330,I122603871012,I122603871094,,,,,,,,,,
F1331,I122605984592,I122605984597,I122605984690,I122605984537,I122618414804,I122606029613,I122606113733,I122606035346,I122606030307,,,
F1332,I122610015377,I122610015007,,,,,,,,,,
F1333,I122616306738,I122616306660,I122616307940,I122616305664,,,,,,,,
F1334,I122606115657,I122606115661,I122606115648,I122606115722,,,,,,,,
F1335,I122616536108,I122616536110,I122616535969,,,,,,,,,
F1336,I122609065145,I122609065139,I122609065052,,,,,,,,,
F1337,I122617289764,I122617289656,I122617303949,,,,,,,,,
F1338,I122596662256,I122596662258,I122596662231,I122596765771,I122596662701,,,,,,,
F1339,I122606115632,I122606115648,I122606114417,,,,,,,,,
F1340,I122594843544,I122594843551,I122594843540,I122650682492,I122597050567,I122594101527,,,,,,
F1341,I122600774475,I122600774489,I122600774878,I122600774502,,,,,,,,
F1342,I122606508847,I122606508850,I122606508784,,,,,,,,,
F1343,I122596875150,I122596875191,I122596875215,,,,,,,,,
F1344,I122593844210,I122593849220,I122593849545,I122593849286,,,,,,,,
F1345,I122596662144,I122596662173,I122615027207,I122596662196,I122596713685,,,,,,,
F1346,I122594270183,I122594270204,I122619798021,I122596132036,I122602830364,I122594270089,,,,,,
F1347,I122594270183,I122594270420,,,,,,,,,,
F1348,I122653711989,I122653711985,I122653711814,,,,,,,,,
F1349,I122653711989,I122653712248,,,,,,,,,,
F1350,I122609507660,I122609507536,I122609508035,,,,,,,,,
F1351,I122631822762,I122631822747,I122631822693,I122594535301,,,,,,,,
F1352,I122605083412,I122605083445,I122605083388,,,,,,,,,
F1353,I122605984537,I122605984540,I122605984530,,,,,,,,,
F1354,I122610539740,I122610539789,I122610540038,,,,,,,,,
F1355,I122600774523,I122600774502,,,,,,,,,,
F1356,I122605984516,I122605984530,I122603678413,I122605984983,,,,,,,,
F1357,I122594106305,I122594106386,I122594106207,,,,,,,,,
F1358,I122605492973,I122605493047,,,,,,,,,,
F1359,I122618862658,I122618862360,,,,,,,,,,
F1360,I122618862658,I122618862917,,,,,,,,,,
F1361,I122603871012,I122603870913,,,,,,,,,,
F1362,I122642374406,I122642374383,I122642373503,,,,,,,,,
F1363,I122650681246,I122650681237,I122650680036,,,,,,,,,
F1364,I122606508784,I122606508797,I122606508754,,,,,,,,,
F1365,I122594269733,I122594269651,,,,,,,,,,
F1366,I122600184474,I122600184551,I122608765471,I122600184685,,,,,,,,
F1367,I122618863016,I122618863019,I122618862917,,,,,,,,,
F1368,I122618863344,I122618863019,I122618863749,,,,,,,,,
F1369,I122594269757,I122594269762,I122594269733,I122594269883,,,,,,,,
F1370,I122617306501,I122602827275,I122617306315,I122602827200,,,,,,,,
F1371,I122603477688,I122603477747,,,,,,,,,,
F1372,I122596660970,I122596661844,,,,,,,,,,
F1373,I122596661876,I122596661844,,,,,,,,,,
F1374,I122597546515,I122597546590,,,,,,,,,,
F1375,I122606508754,I122606508703,,,,,,,,,,
F1376,I122614832464,I122614832473,I122596875311,I122614832795,,,,,,,,
F1377,I122606213824,I122606213843,I122606213645,I122606214054,,,,,,,,
F1378,I122594728371,I122594728454,I122594728524,,,,,,,,,
F1379,I122595006986,I122595006997,I122603373166,I122595006963,,,,,,,,
F1380,I122606115543,I122606114417,,,,,,,,,,
F1381,I122594662846,I122594662942,I122594663018,I122594662260,,,,,,,,
F1382,I122596596347,I122596596270,,,,,,,,,,
F1383,I122596661884,I122596661888,I122596661876,,,,,,,,,
F1384,I122618928442,I122618928512,I122618928588,,,,,,,,,
F1385,I122605083388,I122605083311,,,,,,,,,,
F1386,I122618715535,I122618715444,I122618715735,,,,,,,,,
F1387,I122594663064,I122594663018,I122614425503,,,,,,,,,
F1388,I122615897769,I122615897383,I122615898357,,,,,,,,,
F1389,I122597382666,I122597382715,I122597382615,I122597382789,,,,,,,,
F1390,I122594843255,I122594843259,I122594843248,,,,,,,,,
F1391,I122594843248,I122594843213,,,,,,,,,,
F1392,I122604969189,I122604968603,,,,,,,,,,
F1393,I122619387498,I122619387371,I122619387788,,,,,,,,,
F1394,I122614653092,I122614652194,,,,,,,,,,
F1395,I122593942014,I122593942124,,,,,,,,,,
F1396,I122618928588,I122618928618,,,,,,,,,,
F1397,I122594105938,I122594106009,I122594106126,,,,,,,,,
F1398,I122594728605,I122594728524,,,,,,,,,,
F1399,I122617633667,I122617634279,I122617634658,,,,,,,,,
F1400,I122606033531,I122606033549,I122606033751,I122606033512,,,,,,,,
F1401,I122597169727,I122597169797,,,,,,,,,,
F1402,I122610113981,I122610113403,,,,,,,,,,
F1403,I122610113981,I122610114433,,,,,,,,,,
F1404,I122597169846,I122597169857,I122597169919,I122597169808,,,,,,,,
F1405,I122594843266,I122594843299,I122594843255,I122594843412,,,,,,,,
F1406,I122594663077,I122594663079,I122595386330,I122594663064,I122619456110,,,,,,,
F1407,I122618928442,I122618928427,,,,,,,,,,
F1408,I122594663095,I122594663099,I122594663079,I122595610743,,,,,,,,
F1409,I122597382865,I122597382871,I122597382836,,,,,,,,,
F1410,I122605656622,I122605656659,,,,,,,,,,
F1411,I122606033506,I122606033512,I122606032767,,,,,,,,,
F1412,I122597382874,I122597382898,I122597382871,,,,,,,,,
F1413,I122597415643,I122597415654,I122597415627,,,,,,,,,
F1414,I122596661972,I122596661993,,,,,,,,,,
F1415,I122606508648,I122606508605,I122606508703,,,,,,,,,
F1416,I122596596452,I122596596469,I122609743627,I122596596573,,,,,,,,
F1417,I122616474175,I122603477520,I122603477351,,,,,,,,,
F1418,I122596662014,I122596662010,I122597054094,I122600371180,I122596709215,I122596661993,I122605491803,I122606209907,,,,
F1419,I122597415567,I122597415627,,,,,,,,,,
F1420,I122594663146,I122594663157,I122593578546,I122594663095,,,,,,,,
F1421,I122600184392,I122600184407,I122600184290,I122600184474,,,,,,,,
F1422,I122597382789,I122597382804,,,,,,,,,,
F1423,I122603870730,I122603870739,I122603870705,I122614087493,,,,,,,,
F1424,I122595007209,I122595007225,I122595006986,I122595007336,,,,,,,,
F1425,I122597169808,I122597169814,I122597169797,,,,,,,,,
F1426,I122597382836,I122597382804,,,,,,,,,,
F1427,I122596661911,I122596661921,I122596661972,I122596661884,,,,,,,,
F1428,I122604968428,I122604968507,I122604968603,,,,,,,,,
F1429,I122606213637,I122606213645,I122606213383,,,,,,,,,
F1430,I122605083006,I122605083081,,,,,,,,,,
F1431,I122618863294,I122618863290,I122618863019,I122618864187,,,,,,,,
F1432,I122605492675,I122605492592,I122605492973,,,,,,,,,
F1433,I122614849153,I122614849138,I122614088797,I122614848757,,,,,,,,
F1434,I122605984249,I122596874469,I122596874417,I122596874551,,,,,,,,
F1435,I122594728225,I122594728240,I122594728192,I122594728371,,,,,,,,
F1436,I122610540094,I122610540038,,,,,,,,,,
F1437,I122597382491,I122597382472,I122597382546,I122602836791,,,,,,,,
F1438,I122603215272,I122603215194,,,,,,,,,,
F1439,I122606033305,I122606033395,I122594735446,I122606033000,I122606034749,,,,,,,
F1440,I122593941817,I122593941741,,,,,,,,,,
F1441,I122602658226,I122602658236,I122616536844,I122614353454,I122593542061,,,,,,,
F1442,I122616536715,I122616536844,,,,,,,,,,
F1443,I122615406198,I122615406218,,,,,,,,,,
F1444,I122600184245,I122600184085,,,,,,,,,,
F1445,I122600184245,I122600701430,,,,,,,,,,
F1446,I122594728168,I122594728192,I122594728133,,,,,,,,,
F1447,I122595006848,I122595006732,I122595006901,,,,,,,,,
F1448,I122603870618,I122603870705,,,,,,,,,,
F1449,I122596874619,I122596874628,I122617894613,,,,,,,,,
F1450,I122618715785,I122618715735,,,,,,,,,,
F1451,I122614471622,I122600380836,I122600380814,I122617608838,I122614471274,I122600499513,,,,,,
F1452,I122606213581,I122606213449,,,,,,,,,,
F1453,I122614472257,I122614472262,I122614472229,,,,,,,,,
F1454,I122597054842,I122597054689,,,,,,,,,,
F1455,I122597054842,I122597054958,I122608811232,,,,,,,,,
F1456,I122600184277,I122600184290,I122600184245,,,,,,,,,
F1457,I122617454352,I122617454286,,,,,,,,,,
F1458,I122600380889,I122600380907,I122600380836,I122600500614,I122600698239,I122600775453,,,,,,
F1459,I122618715889,I122618715878,I122618715785,,,,,,,,,
F1460,I122597546282,I122597546293,I122597546368,I122597546258,,,,,,,,
F1461,I122644290683,I122644290702,I122644284549,,,,,,,,,
F1462,I122595612924,I122595612943,I122595612911,,,,,,,,,
F1463,I122602658267,I122602658292,I122604742841,I122602658226,,,,,,,,
F1464,I122609065578,I122609065559,I122609065145,,,,,,,,,
F1465,I122596839930,I122614472229,,,,,,,,,,
F1466,I122653711563,I122653711609,I122653711788,,,,,,,,,
F1467,I122605984153,I122605984158,I122605984146,I122605984249,,,,,,,,
F1468,I122619485918,I122619485902,I122619486581,I122619482521,,,,,,,,
F1469,I122615619085,I122615408194,I122615408320,,,,,,,,,
F1470,I122615619085,I122615619073,I122615618985,,,,,,,,,
F1471,I122596552027,I122604575156,I122596552089,,,,,,,,,
F1472,I122597546175,I122597546258,,,,,,,,,,
F1473,I122605983860,I122605984146,,,,,,,,,,
F1474,I122617894613,I122596874551,,,,,,,,,,
F1475,I122594269522,I122594269586,I122595207634,I122596838588,I122594269651,,,,,,,
F1476,I122608754286,I122608754320,,,,,,,,,,
F1477,I122653711397,I122653711285,I122653862787,I122653863651,,,,,,,,
F1478,I122600184070,I122600184085,I122600184048,,,,,,,,,
F1479,I122594105789,I122594105797,I122593542076,I122594105938,,,,,,,,
F1480,I122597382606,I122597382569,,,,,,,,,,
F1481,I122629283787,I122629283741,I122629285416,I122596840318,,,,,,,,
F1482,I122595006901,I122595006963,,,,,,,,,,
F1483,I122604575042,I122604575094,I122604575156,,,,,,,,,
F1484,I122597382615,I122597382622,I122597382606,,,,,,,,,
F1485,I122616307208,I122616307323,I122616307570,,,,,,,,,
F1486,I122604738886,I122604738926,I122604738798,,,,,,,,,
F1487,I122602658168,I122602658107,I122602658292,I122604743036,I122609077764,I122602657735,,,,,,
F1488,I122597546464,I122597546368,I122597546515,,,,,,,,,
F1489,I122603477351,I122603477311,,,,,,,,,,
F1490,I122603215109,I122603215117,I122603215194,I122603215057,I122605906262,,,,,,,
F1491,I122618043954,I122618043943,I122618043350,I122618044433,,,,,,,,
F1492,I122615406288,I122615406283,I122615406575,I122615406218,,,,,,,,
F1493,I122605984052,I122605984089,I122597001311,I122618383249,,,,,,,,
F1494,I122597169590,I122597169640,I122597169727,,,,,,,,,
F1495,I122610015981,I122610015895,I122610016194,,,,,,,,,
F1496,I122618650131,I122618650122,I122618650521,I122603676555,,,,,,,,
F1497,I122614832839,I122614832795,I122614832967,,,,,,,,,
F1498,I122616536612,I122616536652,I122616536715,,,,,,,,,
F1499,I122593941896,I122593941959,I122593941817,I122593942124,,,,,,,,
F1500,I122605082882,I122605082888,I122605082859,I122605083006,,,,,,,,
F1501,I122604574964,I122604574999,I122604574916,I122604575042,,,,,,,,
F1502,I122609508080,I122609508035,,,,,,,,,,
F1503,I122605656283,I122605656329,I122605695559,I122605656268,,,,,,,,
F1504,I122597382559,I122597382546,I122597382569,,,,,,,,,
F1505,I122604968210,I122604968167,,,,,,,,,,
F1506,I122594285711,I122594286029,,,,,,,,,,
F1507,I122605492517,I122605492529,I122605492462,I122605492592,,,,,,,,
F1508,I122609737455,I122609737534,,,,,,,,,,
F1509,I122606213383,I122606213326,I122606213449,,,,,,,,,
F1510,I122594105287,I122594105393,,,,,,,,,,
F1511,I122608754450,I122608754449,I122608754320,,,,,,,,,
F1512,I122597546175,I122597546109,,,,,,,,,,
F1513,I122603860781,I122603870425,I122603860890,I122603870371,I122603870618,,,,,,,
F1514,I122614833010,I122614832967,I122614833157,,,,,,,,,
F1515,I122614833010,I122614833432,,,,,,,,,,
F1516,I122604574916,I122604574936,I122604574901,,,,,,,,,
F1517,I122615619426,I122615619416,I122615408194,I122615619073,,,,,,,,
F1518,I122653711788,I122653711814,,,,,,,,,,
F1519,I122605656268,I122605656229,,,,,,,,,,
F1520,I122605983974,I122605983983,I122605983966,I122605984052,,,,,,,,
F1521,I122616471531,I122616471431,I122616471809,I122616535935,,,,,,,,
F1522,I122609508134,I122609508122,I122609508080,,,,,,,,,
F1523,I122605983966,I122605983908,I122605983877,,,,,,,,,
F1524,I122618650521,I122618650610,I122618650669,,,,,,,,,
F1525,I122605082778,I122605082859,,,,,,,,,,
F1526,I122618421145,I122618421134,I122618420604,,,,,,,,,
F1527,I122605492448,I122605492380,,,,,,,,,,
F1528,I122594285680,I122594285572,,,,,,,,,,
F1529,I122593941534,I122593941599,I122593941741,I122593942014,,,,,,,,
F1530,I122605492462,I122605492477,I122605492448,,,,,,,,,
F1531,I122600183974,I122600184048,,,,,,,,,,
F1532,I122597382201,I122597382265,,,,,,,,,,
F1533,I122595612704,I122595612773,I122595612826,,,,,,,,,
F1534,I122603214937,I122603215001,,,,,,,,,,
F1535,I122604738798,I122604972325,,,,,,,,,,
F1536,I122619387788,I122619387855,,,,,,,,,,
