Family_ID,Father ID,Mother_ID,Child_ID_1,Child_ID_2,Child_ID_3,Child_ID_4,Child_ID_5,Child_ID_6,Child_ID_7,Child_ID_8,Child_ID_9,Child_ID_10
F103,I122616302976,I122616303076,,,,,,,,,,
F104,I122603375222,I122603375239,I122603829767,I122603375200,I122603830247,,,,,,,
F105,I122613681510,I122613681428,I122613686947,,,,,,,,,
F106,I122595691167,I122595691135,,,,,,,,,,
F107,I122603686489,I122603686539,I122603686446,,,,,,,,,
F108,I122596133498,I122596133582,,,,,,,,,,
F109,I122593577494,I122593577587,I122593541808,,,,,,,,,
F110,I122597542456,I122597542479,I122597542417,I122597542650,,,,,,,,
F111,I122602834583,I122602834510,I122602835740,,,,,,,,,
F112,I122628812092,I122628819997,I122628820256,,,,,,,,,
F113,I122596608624,I122596608536,,,,,,,,,,
F114,I122618039629,I122618039737,,,,,,,,,,
F115,I122594658887,I122594658923,I122594658966,I122594658855,,,,,,,,
F116,I122606209723,I122606209648,I122606209805,,,,,,,,,
F117,I122603375333,I122603375351,I122603526143,I122603478785,I122603685412,I122603375269,I122603859783,,,,,
F118,I122595396116,I122595396126,I122595396079,I122595396339,,,,,,,,
F119,I122618859000,I122618859015,I122618858826,,,,,,,,,
F120,I122616301437,I122593577587,,,,,,,,,,
F121,I122594740833,I122594740836,I122602824849,I122594740680,,,,,,,,
F122,I122597411353,I122597411374,I122597411315,I122597411498,,,,,,,,
F123,I122606029396,I122606029483,I122606029562,,,,,,,,,
F124,I122594724536,I122594724477,,,,,,,,,,
F125,I122595691002,I122595691010,I122595691037,I122595690991,,,,,,,,
F126,I122597050907,I122597050914,I122596998910,I122597051066,,,,,,,,
F127,I122600508146,I122600508153,I122600508119,,,,,,,,,
F128,I122610109834,I122610109781,,,,,,,,,,
F129,I122610535772,I122610535840,I122610542595,,,,,,,,,
F130,I122597542417,I122597542385,I122597542297,,,,,,,,,
F131,I122616253716,I122616253717,I122616253637,,,,,,,,,
F132,I122616253716,I122616253973,,,,,,,,,,
F133,I122616466778,I122616466718,I122616467175,,,,,,,,,
F134,I122596915732,I122597542650,I122596915385,I122596915829,,,,,,,,
F135,I122600508001,I122600507926,I122600508041,,,,,,,,,
F136,I122603686446,I122603686372,,,,,,,,,,
F137,I122614664673,I122596664348,I122596664329,,,,,,,,,
F138,I122614845028,I122614844907,I122614845322,,,,,,,,,
F139,I122595756786,I122595756794,I122595756774,I122595756891,,,,,,,,
F140,I122596133608,I122596133620,I122596133582,,,,,,,,,
F141,I122596494058,I122596494075,I122596493971,I122618715878,,,,,,,,
F142,I122595691187,I122595691249,I122595691167,,,,,,,,,
F143,I122602654208,I122602654124,,,,,,,,,,
F144,I122605701750,I122605701649,I122605701828,,,,,,,,,
F145,I122603375134,I122603375200,,,,,,,,,,
F146,I122594658966,I122594659012,I122594659050,,,,,,,,,
F147,I122595756681,I122595756774,,,,,,,,,,
F148,I122602834450,I122602834369,I122603832827,I122602834510,I122618859000,I122613868596,,,,,,
F149,I122594298513,I122594295714,,,,,,,,,,
F150,I122594659050,I122594659057,,,,,,,,,,
F151,I122605250883,I122596608649,I122596608624,,,,,,,,,
F152,I122606225867,I122606225971,,,,,,,,,,
F153,I122593577710,I122593577719,I122593577687,I122593940694,,,,,,,,
F154,I122594724566,I122594724603,I122594724536,,,,,,,,,
F155,I122596493971,I122596493980,I122596493962,,,,,,,,,
F156,I122606209555,I122606209562,I122606209648,I122606209461,,,,,,,,
F157,I122608274953,I122608274941,I122608275329,I122608274723,,,,,,,,
F158,I122593577668,I122593577687,I122593577494,I122594101426,,,,,,,,
F159,I122618858819,I122618858826,I122618858739,,,,,,,,,
F160,I122609077764,I122609077757,I122609077475,,,,,,,,,
F161,I122594592988,I122594593065,I122604970228,I122594656835,I122594659216,,,,,,,
F162,I122615090800,I122615090804,I122615090720,,,,,,,,,
F163,I122594740521,I122594740417,,,,,,,,,,
F164,I122594740521,I122594740573,,,,,,,,,,
F165,I122597001550,I122597001523,,,,,,,,,,
F166,I122594724134,I122594724200,I122604746553,I122595759767,I122594724000,,,,,,,
F167,I122604734940,I122594174389,I122594174495,I122604734423,,,,,,,,
F168,I122597411181,I122597411315,,,,,,,,,,
F169,I122595396002,I122595395919,,,,,,,,,,
F170,I122596608344,I122596608245,I122596608536,,,,,,,,,
F171,I122603375024,I122603375070,I122603375134,,,,,,,,,
F172,I122616598219,I122616598149,I122616598543,,,,,,,,,
F173,I122596608362,I122596608366,I122596608344,,,,,,,,,
F174,I122618384024,I122618384002,I122618409273,,,,,,,,,
F175,I122613681761,I122613681781,I122613681627,I122618198981,,,,,,,,
F176,I122594101527,I122594101426,I122594101594,,,,,,,,,
F177,I122600507764,I122600507834,I122600507926,,,,,,,,,
F178,I122617286307,I122617286312,I122617286264,,,,,,,,,
F179,I122597542297,I122597542221,,,,,,,,,,
F180,I122595756397,I122595756429,I122595756146,,,,,,,,,
F181,I122606209461,I122614838959,I122606209354,,,,,,,,,
F182,I122614353454,I122614353446,I122614352950,,,,,,,,,
F183,I122594593138,I122594593090,I122600502400,I122594593065,,,,,,,,
F184,I122597165349,I122597165063,,,,,,,,,,
F185,I122619727441,I122619727552,,,,,,,,,,
F186,I122594593212,I122594593090,,,,,,,,,,
F187,I122595690702,I122595690802,I122595690673,,,,,,,,,
F188,I122593541807,I122593577290,,,,,,,,,,
F189,I122594740630,I122594740573,,,,,,,,,,
F190,I122616254083,I122616253973,I122616254225,,,,,,,,,
F191,I122605095279,I122605095344,I122605095419,I122605096571,I122605240470,,,,,,,
F192,I122616467234,I122616467175,I122616467792,,,,,,,,,
F193,I122618384069,I122618384071,I122618384024,,,,,,,,,
F194,I122596133328,I122596133278,I122596133498,,,,,,,,,
F195,I122596666723,I122595002787,I122596666697,I122595002932,,,,,,,,
F196,I122603686186,I122603686270,I122603686372,,,,,,,,,
F197,I122606029158,I122606029174,I122606029104,I122594832273,,,,,,,,
F198,I122597165452,I122597165515,I122653865906,I122597162952,I122597165349,,,,,,,
F199,I122618187279,I122603679192,I122618186869,I122603679139,,,,,,,,
F200,I122615123614,I122615123709,I122619494526,,,,,,,,,
F201,I122595690957,I122595690991,I122600776000,,,,,,,,,
F202,I122594740661,I122594740680,I122594740630,,,,,,,,,
F203,I122617220733,I122617220663,,,,,,,,,,
F204,I122595396079,I122595396090,I122595396002,,,,,,,,,
F205,I122620120887,I122620120577,I122620118030,,,,,,,,,
F206,I122610110099,I122610110091,I122610109834,,,,,,,,,
F207,I122606209291,I122606209354,I122606211070,,,,,,,,,
F208,I122608946947,I122608946875,,,,,,,,,,
F209,I122606225713,I122606225720,I122606225668,I122606225867,,,,,,,,
F210,I122616303199,I122616303206,I122616303699,I122616303076,,,,,,,,
F211,I122610536194,I122610536177,I122610535840,I122610541170,,,,,,,,
F212,I122604570904,I122604570914,I122604570981,I122604570887,,,,,,,,
F213,I122617286264,I122617286238,,,,,,,,,,
F214,I122606029104,I122606029021,,,,,,,,,,
F215,I122604570816,I122604570887,I122604570717,,,,,,,,,
F216,I122603571573,I122594733956,,,,,,,,,,
F217,I122594658765,I122594658803,I122594658830,,,,,,,,,
F218,I122594740702,I122594740721,I122594741539,I122594740661,,,,,,,,
F219,I122604734662,I122604734733,I122604734561,I122604972480,,,,,,,,
F220,I122595756451,I122595756464,I122595756429,,,,,,,,,
F221,I122617220733,I122617220908,I122617221270,,,,,,,,,
F222,I122606225668,I122606225678,I122606225653,,,,,,,,,
F223,I122605693413,I122605701435,I122605701649,,,,,,,,,
F224,I122594592813,I122594592701,,,,,,,,,,
F225,I122594592813,I122594656884,I122594656870,,,,,,,,,
F226,I122597001228,I122597001281,,,,,,,,,,
F227,I122597542006,I122597542104,I122597542221,,,,,,,,,
F228,I122618990525,I122618990620,,,,,,,,,,
F229,I122593577008,I122593577015,I122593576967,I122594270458,I122593542413,,,,,,,
F230,I122597050541,I122597050447,,,,,,,,,,
F231,I122619875270,I122619875235,I122597057701,I122596550793,,,,,,,,
F232,I122593822776,I122593811472,I122595614128,I122600774751,I122595691478,I122600696956,I122594731238,I122603573502,I122595620212,,,
F233,I122606225525,I122606225653,,,,,,,,,,
F234,I122615123810,I122615123808,I122615123709,,,,,,,,,
F235,I122603210933,I122603210991,I122603210768,,,,,,,,,
F236,I122594723889,I122594723896,I122594723867,,,,,,,,,
F237,I122595690570,I122595690626,,,,,,,,,,
F238,I122593937440,I122593937472,I122593937506,,,,,,,,,
F239,I122597001305,I122597001311,I122597001281,I122603677866,,,,,,,,
F240,I122603669648,I122603669693,,,,,,,,,,
F241,I122594723849,I122594723781,,,,,,,,,,
F242,I122602653832,I122602653843,I122602653810,,,,,,,,,
F243,I122594740334,I122594740238,I122594740417,,,,,,,,,
F244,I122616254225,I122616254276,I122616254359,,,,,,,,,
F245,I122595756146,I122595756045,,,,,,,,,,
F246,I122597165160,I122597165063,,,,,,,,,,
F247,I122595390397,I122595395703,I122595395919,I122605915766,I122595390375,I122595618555,I122595568548,,,,,
F248,I122618154922,I122618154943,I122618155238,,,,,,,,,
F249,I122618417175,I122618417043,I122618417478,,,,,,,,,
F250,I122594723858,I122594723867,I122594723849,,,,,,,,,
F251,I122596493550,I122596493435,,,,,,,,,,
F252,I122596608120,I122596607937,I122596608245,,,,,,,,,
F253,I122593576945,I122593576967,I122594107128,I122597003710,I122593576886,,,,,,,
F254,I122617286621,I122617286632,I122600184551,I122617286444,,,,,,,,
F255,I122600507587,I122600507647,I122600507494,,,,,,,,,
F256,I122593937506,I122593937546,,,,,,,,,,
